wave,control_id,control_name,target_id,repository_name,applicability_state,applicability_rationale,applicability_owner,evaluation_state,evidence_state,result_state,promotion_state
2D,EMS-CTRL-001,Engineering Governance Policy,REPO-001,bluto,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-001,Engineering Governance Policy,REPO-002,fiskroad,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-001,Engineering Governance Policy,REPO-003,hometown,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-001,Engineering Governance Policy,REPO-004,nono,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-001,Engineering Governance Policy,REPO-005,olive,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-001,Engineering Governance Policy,REPO-006,popeye,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-001,Engineering Governance Policy,REPO-EMS,ems,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-002,Controlled Document Management,REPO-001,bluto,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-002,Controlled Document Management,REPO-002,fiskroad,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-002,Controlled Document Management,REPO-003,hometown,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-002,Controlled Document Management,REPO-004,nono,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-002,Controlled Document Management,REPO-005,olive,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-002,Controlled Document Management,REPO-006,popeye,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-002,Controlled Document Management,REPO-EMS,ems,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-003,Third-party dependency governance,REPO-001,bluto,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-003,Third-party dependency governance,REPO-002,fiskroad,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-003,Third-party dependency governance,REPO-003,hometown,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-003,Third-party dependency governance,REPO-004,nono,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-003,Third-party dependency governance,REPO-005,olive,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-003,Third-party dependency governance,REPO-006,popeye,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-003,Third-party dependency governance,REPO-EMS,ems,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-004,Secrets and identity protection,REPO-001,bluto,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-004,Secrets and identity protection,REPO-002,fiskroad,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-004,Secrets and identity protection,REPO-003,hometown,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-004,Secrets and identity protection,REPO-004,nono,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-004,Secrets and identity protection,REPO-005,olive,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-004,Secrets and identity protection,REPO-006,popeye,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-004,Secrets and identity protection,REPO-EMS,ems,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-005,Repository Classification,REPO-001,bluto,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-005,Repository Classification,REPO-002,fiskroad,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-005,Repository Classification,REPO-003,hometown,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-005,Repository Classification,REPO-004,nono,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-005,Repository Classification,REPO-005,olive,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-005,Repository Classification,REPO-006,popeye,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-005,Repository Classification,REPO-EMS,ems,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
2D,EMS-CTRL-006,Recovery readiness,REPO-001,bluto,PENDING_APPLICABILITY,,,NOT_STARTED,NOT_COLLECTED,NOT_EVALUATED,NOT_PROMOTED
