wave,control_id,control_name,target_id,repository_name,current_decision,current_rationale,decision_owner,decision_source,human_decision,human_rationale,human_decision_owner,human_decision_source
2D,EMS-CTRL-041,Infrastructure as Code Required,REPO-001,bluto,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-041,Infrastructure as Code Required,REPO-002,fiskroad,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-041,Infrastructure as Code Required,REPO-003,hometown,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-041,Infrastructure as Code Required,REPO-004,nono,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-041,Infrastructure as Code Required,REPO-005,olive,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-041,Infrastructure as Code Required,REPO-006,popeye,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-042,IaC Security Scanning,REPO-001,bluto,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-042,IaC Security Scanning,REPO-002,fiskroad,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-042,IaC Security Scanning,REPO-003,hometown,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-042,IaC Security Scanning,REPO-004,nono,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-042,IaC Security Scanning,REPO-005,olive,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-042,IaC Security Scanning,REPO-006,popeye,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-043,Least Privilege IAM,REPO-001,bluto,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-043,Least Privilege IAM,REPO-002,fiskroad,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-043,Least Privilege IAM,REPO-003,hometown,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-043,Least Privilege IAM,REPO-004,nono,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-043,Least Privilege IAM,REPO-005,olive,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
2D,EMS-CTRL-043,Least Privilege IAM,REPO-006,popeye,REVIEW_REQUIRED,IaC/cloud applicability cannot be proven from repository metadata.,Engineering Management,POLICY_IAC_UNKNOWN,,,,
